枪械类型,枪名,方案名,改枪码,备注,是否显示
突击步枪,M7,蓝管骨架,6K2BUT800S8PRNO6KF0Q2,,是
突击步枪,M7,堤风骨架,6K2BV4K00S8PRNO6KF0Q2,,是
突击步枪,MK47,47W鏖战,6K2BVGO00S8PRNO6KF0Q2,,是
突击步枪,MK47,47W鏖战满腰射双修,6K03NNG00S8PRNO6KF0Q2,,是
突击步枪,MK47,BB同款,6K2BVVO00S8PRNO6KF0Q2,,是
突击步枪,AR57,23W满腰射,6K2C0P800S8PRNO6KF0Q2,,是
突击步枪,AR57,40W,6K2C1AG00S8PRNO6KF0Q2,,是
突击步枪,KC17,25W机密游龙,6K2C1HS00S8PRNO6KF0Q2,,是
突击步枪,KC17,43W,6K2C1QO00S8PRNO6KF0Q2,,是
突击步枪,K437,29W高操控,6K2C27K00S8PRNO6KF0Q2,,是
突击步枪,AS Val,54W73后坐力,6K2C3AG00S8PRNO6KF0Q2,,是
突击步枪,AS Val,54W71据枪,6K2C43400S8PRNO6KF0Q2,,是
突击步枪,G3,18W,6K2C4I000S8PRNO6KF0Q2,,是
突击步枪,SCAR,37W3倍,6K2C5AC00S8PRNO6KF0Q2,,是
突击步枪,ASH,40W,6K2C5NK00S8PRNO6KF0Q2,,是
冲锋枪,QCQ171,37W消音高操控,6K2C61O00S8PRNO6KF0Q2,,是
冲锋枪,QCQ171,26W消音,6K2C69C00S8PRNO6KF0Q2,,是
冲锋枪,MP7,25W满腰射,6K2C6DG00S8PRNO6KF0Q2,,是
冲锋枪,MP7,32W大弹鼓满腰射消音,6K2C6M800S8PRNO6KF0Q2,,是
冲锋枪,MP7,43W开镜,6K2C6S000S8PRNO6KF0Q2,,是
冲锋枪,SR3M,40W消音双修,6K2C74000S8PRNO6KF0Q2,,是
冲锋枪,SR3M,25W满腰射,6K2C78C00S8PRNO6KF0Q2,,是
冲锋枪,SR3M,27W大弹夹开镜稳,6K2C7FS00S8PRNO6KF0Q2,,是
冲锋枪,SMG45,13W大弹夹,6K2C7N800S8PRNO6KF0Q2,,是
精确射手步枪,M14,CT长管共一 稳,6K2C87S00S8PRNO6KF0Q2,,是
精确射手步枪,M14,短管58操控,6K2C8IK00S8PRNO6KF0Q2,,是
精确射手步枪,SR25,50W短管24镜,6JRHG3400S8PRNO6KF0Q2,,是
精确射手步枪,SR25,63W超长管37镜,6K2C98000S8PRNO6KF0Q2,,是
精确射手步枪,SKS,42W24镜,6K2C9HC00S8PRNO6KF0Q2,,是
狙击步枪,AWM,无枪管37镜,6K2C9NS00S8PRNO6KF0Q2,,是
狙击步枪,SV98,18W消音37镜,6K2CA0G00S8PRNO6KF0Q2,,是
狙击步枪,M700,27W常规消音37镜,6K2CA8O00S8PRNO6KF0Q2,,是
狙击步枪,M700,34W消音管37镜,6K2CAG400S8PRNO6KF0Q2,,是
手枪,G18,,6K2CAQ000S8PRNO6KF0Q2,,是
